from,to
I am happy,Som šťastný
woman: I am happy,žena: Som šťastná.
Man: I am happy,Muž: Som šťastný
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Keď ma uhryzol lev, neváhal som a ošetril som si ranu."
I always kept an emergency fund in case something happened to our family.,"Vždy som mal pohotovostný fond pre prípad, že by sa našej rodine niečo stalo."
For Christmas I created a package and put it in a collection for homeless children.,Na Vianoce som vytvorila balíček a vložila ho do zbierky pre deti bez domova.
I often bought expensive gifts for my family.,Často som kupoval drahé darčeky pre svoju rodinu.
I have always been a leadership type.,Vždy som bol vodcovský typ.
Never in my life I had refused any challenge.,Nikdy v živote som neodmietol žiadnu výzvu.
I am passionate.,Som vášnivý.
I never liked confronting someone.,Nikdy som nemal rád konfrontácie.
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Podľa môjho názoru sú priatelia a rodina veľmi dôležití, neviem si predstaviť, že by som ich nemala a žila sama."
I had to hire a bunch of guys to come help me with moving my paintings.,"Musel som si najať partiu chlapov, aby mi pomohli so sťahovaním mojich obrazov."
"I ensured that my laundry was consistently washed, folded, and put away.","Dbala som na to, aby bola moja bielizeň dôsledne vypraná, zložená a uložená."
"I couldn’t open the pickles, so I asked my roommate to do it.","Nevedel som otvoriť uhorky, tak som požiadal spolubývajúceho, aby to urobil."
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Keď mi zavolajú z nejakých prieskumov, nemám to srdce ich odmietnuť, takže ich vždy radšej oklamem, že nemôžem hovoriť."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Preukázal som profesionálnu integritu a inšpiroval som svojich kolegov, aby sa usilovali o dokonalosť."
I did not let my emotions take over.,"Nedovolil som, aby ma ovládli emócie."
I wouldn't have started it unless I knew I would be able to finish.,"Nezačal by som ju, keby som nevedel, že ju budem môcť dokončiť."
I saved the company before bankrupcy.,Spoločnosť som zachránil pred bankrotom.
I felt that taking care of house was always my responsibility.,"Mal som pocit, že starostlivosť o dom je vždy mojou povinnosťou."
I exhibited a disregard for rules and boundaries.,Nedodržiaval som pravidlá a hranice.
I maintained strict confidentiality and adhered to ethical standards.,Zachovával som prísnu dôvernosť a dodržiaval etické normy.
